candidate_id,rank,score,reasoning
CAND_0011687,1,0.99,"Senior NLP Engineer with 7.8y exp; 8 core AI skills (tensorflow, opensearch, faiss, embeddings); loc: Indore, Madhya Pradesh, India; response rate 89%; notice 15d; GitHub 76/100"
CAND_0010603,2,0.7922,"ML Engineer with 5.3y exp; 6 core AI skills (information retrieval, opensearch, docker, azure); loc: Bangalore, Karnataka, India; response rate 94%; notice 90d; GitHub 79/100"
CAND_0046525,3,0.7225,"Senior Machine Learning Engineer with 6.1y exp; 10 core AI skills (elasticsearch, machine learning, llamaindex, information retrieval); loc: Pune, Maharashtra, India; response rate 88%; notice 60d; GitHub 37/100"
CAND_0005538,4,0.7009,"Senior AI Engineer with 5.9y exp; 6 core AI skills (deep learning, python, pytorch, information retrieval systems); loc: Kolkata, West Bengal, India; response rate 81%; notice 90d; GitHub 58/100"
CAND_0068932,5,0.6529,"ML Engineer with 5.2y exp; 4 core AI skills (javascript, mlops, milvus, prompt engineering); loc: Noida, Uttar Pradesh, India; response rate 82%; notice 30d; GitHub 70/100"
CAND_0050876,6,0.6499,"Applied ML Engineer with 6.0y exp; 9 core AI skills (sql, qdrant, mlops, faiss); loc: Kolkata, West Bengal, India; response rate 67%; notice 90d; GitHub 86/100"
CAND_0043637,7,0.6467,"Junior ML Engineer with 5.5y exp; 4 core AI skills (pytorch, milvus, redis, mlflow); loc: Delhi, Delhi, India; response rate 92%; notice 45d; no GitHub"
CAND_0035879,8,0.6188,"AI Research Engineer with 4.5y exp; 4 core AI skills (ci/cd, pinecone, mlflow, elasticsearch); loc: Noida, Uttar Pradesh, India; response rate 82%; notice 120d; GitHub 84/100"
CAND_0054100,9,0.596,"Junior ML Engineer with 6.0y exp; 7 core AI skills (vector search, prompt engineering, snowflake, hadoop); loc: Kolkata, West Bengal, India; response rate 79%; notice 60d; GitHub 73/100"
CAND_0099675,10,0.5952,"Junior ML Engineer with 3.9y exp; 6 core AI skills (faiss, llamaindex, weaviate, bentoml); loc: Kochi, Kerala, India; response rate 78%; notice 60d; GitHub 35/100"
CAND_0016659,11,0.5449,"ML Engineer with 4.4y exp; 5 core AI skills (sentence transformers, pinecone, faiss, information retrieval); loc: Coimbatore, Tamil Nadu, India; response rate 89%; notice 45d; GitHub 13/100"
CAND_0010257,12,0.5321,"Senior Data Scientist with 6.5y exp; 7 core AI skills (milvus, tensorflow, mlflow, python); loc: Noida, Uttar Pradesh, India; response rate 72%; notice 120d; GitHub 46/100"
CAND_0070525,13,0.5302,"Senior Software Engineer (ML) with 5.4y exp; 4 core AI skills (recommendation systems, python, azure, prompt engineering); loc: Hyderabad, Telangana, India; response rate 93%; notice 45d; GitHub 18/100"
CAND_0043860,14,0.5227,"Junior ML Engineer with 6.1y exp; 7 core AI skills (pgvector, semantic search, information retrieval, redis); loc: Bhubaneswar, Odisha, India; response rate 81%; notice 30d; no GitHub"
CAND_0076163,15,0.5091,"NLP Engineer with 6.9y exp; 9 core AI skills (weaviate, bm25, semantic search, llamaindex); loc: Chandigarh, Chandigarh, India; response rate 84%; notice 60d; GitHub 85/100"
CAND_0071974,16,0.4959,"Senior AI Engineer with 7.8y exp; 10 core AI skills (learning to rank, weaviate, bm25, pinecone); loc: Vizag, Andhra Pradesh, India; response rate 76%; notice 45d; GitHub 83/100"
CAND_0024990,17,0.4941,"Junior ML Engineer with 5.2y exp; 6 core AI skills (computer vision, mlflow, opensearch, nlp); loc: Trivandrum, Kerala, India; response rate 83%; notice 60d; GitHub 80/100"
CAND_0079550,18,0.4889,"AI Specialist with 3.9y exp; 4 core AI skills (information retrieval, javascript, deep learning, mlflow); loc: Delhi, Delhi, India; response rate 88%; notice 60d; GitHub 76/100"
CAND_0082086,19,0.4841,"Senior Software Engineer (ML) with 6.0y exp; 4 core AI skills (faiss, pinecone, pytorch, kafka); loc: Delhi, Delhi, India; response rate 85%; notice 45d; GitHub 83/100"
CAND_0092706,20,0.4827,"AI Research Engineer with 5.8y exp; 4 core AI skills (sentence transformers, mlops, fine-tuning llms, hadoop); loc: Delhi, Delhi, India; response rate 78%; notice 120d; GitHub 65/100"
CAND_0081852,21,0.4785,"Senior Data Scientist with 5.9y exp; 5 core AI skills (semantic search, milvus, bentoml, pgvector); loc: Delhi, Delhi, India; response rate 44%; notice 45d; GitHub 88/100"
CAND_0099965,22,0.4753,"Junior ML Engineer with 4.6y exp; 3 core AI skills (bigquery, semantic search, flask, opensearch); loc: Kochi, Kerala, India; response rate 88%; notice 120d; GitHub 43/100"
CAND_0062658,23,0.4752,"Junior ML Engineer with 4.2y exp; 3 core AI skills (mlops, llamaindex, mlflow, vector search); loc: Trivandrum, Kerala, India; response rate 81%; notice 90d; GitHub 45/100"
CAND_0077498,24,0.4644,"Senior Software Engineer (ML) with 5.4y exp; 4 core AI skills (mlflow, embeddings, javascript, elasticsearch); loc: Ahmedabad, Gujarat, India; response rate 89%; notice 60d; GitHub 58/100"
CAND_0054318,25,0.4634,"AI Research Engineer with 3.5y exp; 5 core AI skills (mlflow, semantic search, information retrieval, pytorch); loc: Chandigarh, Chandigarh, India; response rate 87%; notice 60d; GitHub 22/100"
CAND_0073883,26,0.4586,"AI Specialist with 5.3y exp; 6 core AI skills (hugging face transformers, vector search, deep learning, python); loc: Chandigarh, Chandigarh, India; response rate 92%; notice 90d; GitHub 66/100"
CAND_0074225,27,0.4549,"Machine Learning Engineer with 4.3y exp; 8 core AI skills (recommendation systems, semantic search, elasticsearch, milvus); loc: Vizag, Andhra Pradesh, India; response rate 91%; notice 120d; GitHub 54/100"
CAND_0046064,28,0.4529,"Senior NLP Engineer with 8.9y exp; 6 core AI skills (python, pinecone, bm25, opensearch); loc: Coimbatore, Tamil Nadu, India; response rate 78%; notice 30d; GitHub 67/100"
CAND_0017093,29,0.4521,"ML Engineer with 5.9y exp; 4 core AI skills (airflow, llms, embeddings, azure); loc: Hyderabad, Telangana, India; response rate 58%; notice 30d; GitHub 84/100"
CAND_0072688,30,0.4455,"Data Scientist with 6.9y exp; 5 core AI skills (milvus, deep learning, bigquery, semantic search); loc: Pune, Maharashtra, India; response rate 87%; notice 45d; GitHub 11/100"
CAND_0043829,31,0.4363,"AI Research Engineer with 4.8y exp; 3 core AI skills (machine learning, qdrant, go, dbt); loc: Bangalore, Karnataka, India; response rate 78%; notice 90d; GitHub 39/100"
CAND_0020991,32,0.4323,"Junior ML Engineer with 4.9y exp; 4 core AI skills (python, computer vision, rust, scikit-learn); loc: Vizag, Andhra Pradesh, India; response rate 88%; notice 120d; GitHub 65/100"
CAND_0030784,33,0.4294,"Data Scientist with 4.4y exp; 7 core AI skills (embeddings, learning to rank, rag, pinecone); loc: Delhi, Delhi, India; response rate 90%; notice 90d; GitHub 32/100"
CAND_0044213,34,0.4289,"AI Specialist with 3.7y exp; 6 core AI skills (python, kubernetes, machine learning, scikit-learn); loc: Bangalore, Karnataka, India; response rate 89%; notice 45d; GitHub 69/100"
CAND_0083852,35,0.4287,"Data Scientist with 6.0y exp; 7 core AI skills (qdrant, pinecone, pytorch, pgvector); loc: Ahmedabad, Gujarat, India; response rate 85%; notice 90d; GitHub 71/100"
CAND_0096142,36,0.4281,"Applied ML Engineer with 5.0y exp; 6 core AI skills (weaviate, pinecone, python, bentoml); loc: Hyderabad, Telangana, India; response rate 84%; notice 120d; GitHub 80/100"
CAND_0010149,37,0.4275,"ML Engineer with 6.9y exp; 4 core AI skills (computer vision, milvus, vector search, learning to rank); loc: Bangalore, Karnataka, India; response rate 82%; notice 90d; GitHub 18/100"
CAND_0038949,38,0.4169,"ML Engineer with 6.4y exp; 5 core AI skills (pgvector, elasticsearch, ci/cd, hugging face transformers); loc: Bhubaneswar, Odisha, India; response rate 67%; notice 120d; GitHub 46/100"
CAND_0093912,39,0.4168,"Senior Data Scientist with 5.3y exp; 5 core AI skills (milvus, embeddings, recommendation systems, vector search); loc: Chandigarh, Chandigarh, India; response rate 66%; notice 30d; GitHub 82/100"
CAND_0091890,40,0.4146,"AI Research Engineer with 4.7y exp; 7 core AI skills (scikit-learn, elasticsearch, pinecone, bentoml); loc: Hyderabad, Telangana, India; response rate 49%; notice 60d; GitHub 83/100"
CAND_0064256,41,0.394,"Junior ML Engineer with 6.4y exp; 4 core AI skills (pytorch, mlops, python, embeddings); loc: Kolkata, West Bengal, India; response rate 86%; notice 30d; no GitHub"
CAND_0080534,42,0.391,"ML Engineer with 3.8y exp; 5 core AI skills (elasticsearch, opensearch, airflow, fine-tuning llms); loc: Vizag, Andhra Pradesh, India; response rate 91%; notice 30d; GitHub 81/100"
CAND_0023215,43,0.3789,"Junior ML Engineer with 4.4y exp; 4 core AI skills (dbt, information retrieval, mlflow, llms); loc: Austin, USA; response rate 43%; notice 60d; GitHub 84/100"
CAND_0080344,44,0.3787,"Senior Software Engineer (ML) with 4.9y exp; 6 core AI skills (sentence transformers, scikit-learn, dbt, recommendation systems); loc: Hyderabad, Telangana, India; response rate 70%; notice 90d; GitHub 27/100"
CAND_0094916,45,0.3754,"Junior ML Engineer with 3.7y exp; 7 core AI skills (pgvector, prompt engineering, hugging face transformers, flask); loc: Vizag, Andhra Pradesh, India; response rate 66%; notice 30d; GitHub 38/100"
CAND_0038206,46,0.3729,"Data Scientist with 3.5y exp; 7 core AI skills (pytorch, nlp, fine-tuning llms, kubernetes); loc: Chandigarh, Chandigarh, India; response rate 81%; notice 120d; GitHub 82/100"
CAND_0072768,47,0.3701,"Senior Software Engineer (ML) with 3.9y exp; 7 core AI skills (pinecone, deep learning, gcp, docker); loc: Bangalore, Karnataka, India; response rate 78%; notice 120d; GitHub 64/100"
CAND_0086154,48,0.368,"Data Scientist with 6.8y exp; 3 core AI skills (opensearch, scikit-learn, bentoml, ci/cd); loc: Ahmedabad, Gujarat, India; response rate 90%; notice 90d; GitHub 53/100"
CAND_0045887,49,0.364,"Data Scientist with 3.0y exp; 5 core AI skills (fine-tuning llms, embeddings, computer vision, machine learning); loc: Chennai, Tamil Nadu, India; response rate 86%; notice 30d; GitHub 36/100"
CAND_0086022,50,0.363,"Senior Applied Scientist with 5.3y exp; 11 core AI skills (vector search, mlflow, recommendation systems, databricks); loc: Kolkata, West Bengal, India; response rate 55%; notice 0d; GitHub 75/100"
CAND_0049540,51,0.3623,"ML Engineer with 6.8y exp; 4 core AI skills (gcp, tensorflow, mlflow, pgvector); loc: Trivandrum, Kerala, India; response rate 86%; notice 60d; no GitHub"
CAND_0065195,52,0.3619,"Search Engineer with 5.1y exp; 7 core AI skills (llms, bentoml, scikit-learn, elasticsearch); loc: Kolkata, West Bengal, India; response rate 80%; notice 45d; GitHub 87/100"
CAND_0070544,53,0.356,"AI Research Engineer with 4.9y exp; 5 core AI skills (hugging face transformers, learning to rank, scikit-learn, opensearch); loc: Jaipur, Rajasthan, India; response rate 49%; notice 60d; GitHub 57/100"
